lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,1,head_to_dep,0.017514916283554595,0.019962765099329826,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,1,dep_to_head,0.0216962574344262,0.022440868731391603,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,2,head_to_dep,0.03301742210921063,0.029617877024229296,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,2,dep_to_head,0.035995993322291885,0.02666429685812499,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,3,head_to_dep,0.04338734639326169,0.043494343649222535,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,3,dep_to_head,0.049057127581491666,0.0456601440652776,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,4,head_to_dep,0.055739639325259514,0.05504242408376785,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,4,dep_to_head,0.05482984762722334,0.050109188117170286,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,5,head_to_dep,0.03382585135115219,0.027420831511697833,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,5,dep_to_head,0.03907681179092988,0.03184929016933811,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,6,head_to_dep,0.042835896253176534,0.033496711857554616,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,6,dep_to_head,0.04084158318092203,0.03210885810375276,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,7,head_to_dep,0.06333391243705971,0.08122000106898511,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,7,dep_to_head,0.11908968591908851,0.13583596266697998,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,8,head_to_dep,0.03217302660631108,0.02753927639178863,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,8,dep_to_head,0.03715114661099832,0.031155368267036652,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,9,head_to_dep,0.035005330764834724,0.02817896575065921,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,9,dep_to_head,0.03344352791344772,0.025261217396772496,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,10,head_to_dep,0.12452462302655752,0.20483439587857596,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,10,dep_to_head,0.019036128989517995,0.06628295583755893,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,11,head_to_dep,0.04433245871084504,0.043413806666765545,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,11,dep_to_head,0.04791377775408662,0.04234675913780237,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,12,head_to_dep,0.04172502884854283,0.0373459518413619,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,1,12,dep_to_head,0.04380639246299512,0.03762781909498873,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,2,1,head_to_dep,0.006538023224090421,0.011413569209329994,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,2,1,dep_to_head,0.005266862028955303,0.010576969336321258,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,2,2,head_to_dep,0.013473160784913962,0.029387281124916148,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,mono,UD_Portuguese-Bosque,test,nsubj,2,2,dep_to_head,0.010449356303773215,0.019538495949376327,1115
